Puesto,País,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local,Año
118,Nepal,2885,323,1633,2780,1866,2133,2015
119,India,2627,678,1674,2852,1594,6579,2015
1,Islas Bermudas,13368,12012,12717,13195,12127,11854,2016
2,Suiza,12310,5514,9044,12386,11914,17874,2016
3,Bahamas,10754,3821,7422,10712,8843,5896,2016
4,Noruega,9980,3704,6964,9327,11077,12575,2016
5,Islandia,9645,3545,6713,9140,9882,9398,2016
6,Dinamarca,8488,3083,5890,6920,9788,14214,2016
7,Singapur,8367,7388,7897,7583,5375,11050,2016
8,Luxemburgo,8201,4887,6608,6916,9033,15440,2016
9,Kuwait,8162,3826,6078,9613,4601,11360,2016
10,Hong Kong,8148,8257,8200,8880,5073,10232,2016
11,Japón,8125,2975,5650,8690,4745,11755,2016
12,Reino Unido,8103,3629,5953,6848,8668,12000,2016
13,Australia,7845,4095,6043,7468,7485,14725,2016
14,Nueva Zelanda,7817,2971,5488,7206,7537,11547,2016
15,Irlanda,7803,3787,5873,6659,8230,12566,2016
16,Israel,7575,2678,5221,6571,7727,11554,2016
17,Suecia,7570,2521,5144,6789,7918,12822,2016
18,Bélgica,7544,3142,5428,6715,8287,10669,2016
19,Francia,7530,2622,5172,6962,7348,11851,2016
20,Finlandia,7525,2698,5205,6659,7685,13293,2016
21,Estados Unidos,7408,3839,5693,7569,6913,13917,2016
22,Corea del Sur,7318,3441,5455,8623,4118,12064,2016
23,Países Bajos,7212,3176,5272,5611,8073,12934,2016
24,Catar,6999,7450,7216,5946,6932,14186,2016
25,Italia,6877,2149,4605,5864,7527,10567,2016
26,Puerto Rico,6673,1970,4413,6594,5871,10826,2016
27,Austria,6659,2615,4716,6171,6264,12046,2016
28,Emiratos Árabes Unidos,6609,6825,6713,5723,5985,13643,2016
29,Alemania,6554,2401,4558,5312,6068,14761,2016
30,Canadá,6482,2683,4656,6504,6004,13481,2016
31,Argentina,6409,1807,4197,5251,6419,7492,2016
32,Macao,6406,4347,5417,5585,4643,9942,2016
33,Ghana,6344,5334,5859,5932,5188,1844,2016
34,Líbano,6308,3505,4961,4875,5970,6657,2016
35,Malta,6136,2023,4159,5189,6663,8277,2016
36,Venezuela,6002,1151,3671,7370,4709,1427,2016
37,Belice,5942,1188,3657,5120,3811,14627,2016
38,Costa Rica,5776,1615,3776,5687,4654,6759,2016
39,Chipre,5699,1310,3590,4800,5972,9384,2016
40,España,5611,1886,3821,4602,5699,10531,2016
41,Taiwán,5584,1471,3607,6460,2514,10638,2016
42,Jamaica,5570,1256,3497,5412,3873,4883,2016
43,Trinidad y Tobago,5567,2245,3971,5380,4858,6821,2016
44,Uruguay,5563,1581,3649,4814,5275,5059,2016
45,Zimbabue,5451,1459,3532,4600,4537,3642,2016
46,Grecia,5440,951,3282,4475,5507,7927,2016
47,Omán,5312,2473,3948,4708,4386,14816,2016
48,Jordania,5308,1204,3335,4375,5238,5089,2016
49,Palestina,5288,919,3188,4977,3804,5354,2016
50,Panamá,5257,3053,4198,5525,4041,4809,2016
51,Eslovenia,5219,1471,3418,4278,4278,8976,2016
52,Brunéi,5193,2020,3668,5061,3304,9430,2016
53,Birmania,5157,2019,3649,4964,2836,3335,2016
54,República Dominicana,5138,1207,3249,4800,3933,3644,2016
55,Irak,5056,1740,3463,4206,4593,5722,2016
56,Portugal,4983,1528,3323,4058,4156,7547,2016
57,Tanzania,4951,2571,3807,4276,3574,5386,2016
58,Estonia,4894,1350,3191,3850,4413,7742,2016
59,Croacia,4820,971,2970,4068,3757,6789,2016
60,Baréin,4820,3374,4125,4415,4858,10101,2016
61,China,4810,2324,3615,5327,2928,7742,2016
62,Mauricio,4789,1512,3214,4410,3722,7193,2016
63,Honduras,4785,962,2948,4428,3353,7066,2016
64,Arabia Saudita,4760,1378,3135,4181,3000,16786,2016
65,Camboya,4729,1236,3050,5224,2256,1640,2016
66,Nigeria,4716,2290,3550,4268,3578,4887,2016
67,Letonia,4714,1267,3057,3625,4045,6146,2016
68,Lituania,4556,1245,2965,3732,3542,6125,2016
69,Zambia,4553,2128,3388,3404,3159,14224,2016
70,Turquía,4507,1045,2843,3989,3189,6412,2016
71,Eslovaquia,4500,1498,3057,4059,3181,6880,2016
72,Uzbekistán,4467,1255,2923,4076,2935,3111,2016
73,Ecuador,4432,1212,2884,4340,2795,4764,2016
74,Etiopía,4427,2130,3323,3842,2434,2074,2016
75,Guatemala,4408,1142,2838,4176,3302,5159,2016
76,Chile,4388,1312,2910,3849,3625,7840,2016
77,Fiyi,4382,1549,3020,4954,3412,4237,2016
78,El Salvador,4256,976,2679,3838,2883,4315,2016
79,República Checa,4180,1445,2866,3651,2834,8988,2016
80,Hungría,4129,1054,2651,3318,3075,5630,2016
81,Irán,4112,1638,2923,3860,3505,4773,2016
82,Tailandia,4002,1518,2808,4380,2022,4006,2016
83,Kenia,3984,1266,2678,3786,2911,3107,2016
84,Namibia,3974,1667,2865,3266,3568,4916,2016
85,Libia,3966,1408,2736,3971,3217,6251,2016
86,Vietnam,3950,1394,2722,3951,1824,2588,2016
87,Montenegro,3949,920,2493,3177,3584,5250,2016
88,Bielorrusia,3945,1325,2686,3244,4930,3916,2016
89,Brasil,3888,1230,2610,2992,3155,4869,2016
90,Polonia,3853,1354,2652,3076,3171,8077,2016
91,Rusia,3848,1713,2822,3222,4205,5742,2016
92,Perú,3804,1307,2604,3546,2522,4752,2016
93,Botsuana,3765,849,2364,3146,2996,7627,2016
94,Malasia,3747,1106,2478,3754,1985,9634,2016
95,Bolivia,3744,1002,2427,3058,2442,5395,2016
96,Egipto,3671,963,2369,3313,3180,4030,2016
97,Bulgaria,3636,845,2295,3090,2989,5919,2016
98,Indonesia,3633,986,2361,4090,1841,3551,2016
99,Marruecos,3556,967,2312,3174,2398,4874,2016
100,Bangladés,3550,530,2099,3258,2126,4448,2016
101,Armenia,3549,977,2313,2830,3098,3308,2016
102,México,3501,988,2293,3371,2819,7651,2016
103,Rumania,3480,863,2222,2879,2917,6190,2016
