Puesto,País,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local
,Bosnia y Herzegovina,4976,828,2961,4531,3365,4452
,Irán,4951,2049,3541,5260,4146,3033
,Albania,4896,1094,3049,4137,3525,3327
,Malasia,4866,1516,3238,4762,2662,7046
,Sudáfrica,4855,1770,3356,4232,4373,9597
,Rumania,4820,1223,3072,4387,3719,3651
,Marruecos,4748,1436,3139,4171,3863,2959
,México,4696,1214,3004,4899,3539,6046
,Armenia,4666,1392,3075,3675,4114,2356
,Georgia,4622,1260,2988,3700,4136,2348
,Tailandia,4595,1830,3251,5292,2381,3696
,Ucrania,4564,1513,3082,4081,4021,3100
,Ecuador,4523,1415,3013,4741,2771,2703
,Vietnam,4486,1515,3043,4109,2326,2629
,Macedonia del Norte,4417,915,2715,3768,3244,3330
,Sri Lanka,4282,981,2678,5224,2497,3098
,Siria,4274,1218,2789,3864,3552,2147
,Moldavia,4156,996,2621,3587,3108,2286
,Túnez,4125,982,2598,3836,2873,3436
,Bolivia,4098,1356,2766,3685,2462,4567
,Bangladés,4037,664,2398,4126,2598,3361
,Filipinas,4028,834,2476,4243,2322,2997
,Argelia,3911,894,2446,4011,2748,3210
,Indonesia,3900,1283,2629,4421,2090,2644
,Egipto,3826,940,2424,3706,3275,2557
,Nepal,3143,347,1785,3047,1982,2336
,Pakistán,2969,466,1753,2922,2232,3153
,India,2670,701,1713,2922,1602,6233
